Name,File,CountInput,CountOutput,CountPathLog,CyclomaticStrict,MaxNesting,PREDICTION,INJECTED
"_af_aiff_complete_setup(int *,AFfilesetup)",aiff-pre.c,22,6,2,28,3,True,0
"_af_aiff_read_init(int *,AFfilesetup,AFfilehandle)",aiff-pre.c,3,21,2,23,3,True,0
"_af_avr_complete_setup(int *,AFfilesetup)",avr-pre.c,18,6,1,17,2,True,0
"_af_calloc(int *,size_t,size_t)",util-pre.c,19,3,0,4,1,True,0
"_af_filesetup_copy(int *,AFfilesetup,AFfilesetup,_Bool)",setup-pre.c,27,17,4,29,3,True,0
"_af_filesetup_make_handle(int *,AFfilesetup,AFfilehandle)",setup-pre.c,51,47,2,21,5,True,0
"_af_identify(int *,AFvirtualfile *,int *)",openclose-pre.c,11,5,1,6,3,True,0
"_af_iff_complete_setup(int *,AFfilesetup)",iff-pre.c,19,7,1,16,1,True,0
"_af_ima_adpcm_format_ok(int *,_AudioFormat *)",modules_ima-pre.c,6,6,1,5,1,True,0
"_af_initfloatrebufferf2v(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,5,10,0,1,0,True,0
"_af_initint2rebufferf2v(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,6,10,0,1,0,True,0
"_af_ircam_read_init(int *,AFfilesetup,AFfilehandle)",ircam-pre.c,13,32,2,17,1,True,0
"_af_ircam_recognize(int *,AFvirtualfile *)",ircam-pre.c,6,4,0,6,1,True,0
"_af_malloc(int *,size_t)",util-pre.c,32,3,0,3,1,True,0
"_af_marker_find_by_id(int *,_Track *,int)",marker-pre.c,12,3,0,4,2,True,0
"_af_ms_adpcm_format_ok(int *,_AudioFormat *)",modules_msadpcm-pre.c,6,6,1,6,1,True,0
"_af_ms_adpcm_init_decompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_msadpcm-pre.c,10,18,1,6,1,True,0
"_af_next_complete_setup(int *,AFfilesetup)",next-pre.c,18,7,2,21,2,True,0
"_af_nist_read_init(int *,AFfilesetup,AFfilehandle)",nist-pre.c,10,31,3,27,3,True,0
"_af_nist_write_init(int *,AFfilesetup,AFfilehandle)",nistwrite-pre.c,7,10,0,3,1,True,0
"_af_pcm_format_ok(int *,_AudioFormat *)",modules_pcm-pre.c,6,3,0,5,0,True,0
"_af_print_chunk(int *,_AFchunk *)",debug-pre.c,17,13,2,28,4,True,0
"_af_print_filehandle(int *,AFfilehandle)",debug-pre.c,11,3,1,3,1,True,0
"_af_print_tracks(int *,AFfilehandle)",debug-pre.c,20,3,0,2,1,True,0
"_af_pv_getlong(int *,AUpvlist,int,long *)",util-pre.c,6,5,1,4,2,True,0
"_af_raw_write_init(int *,AFfilesetup,AFfilehandle)",raw-pre.c,7,4,0,3,1,True,0
"_af_realloc(int *,void *,size_t)",util-pre.c,6,3,0,3,1,True,0
"_af_setup_free_instruments(int *,AFfilesetup)",setup-pre.c,6,4,0,3,2,True,0
"_af_setup_free_loops(int *,AFfilesetup,int)",setup-pre.c,6,4,0,2,1,True,0
"_af_setup_free_markers(int *,AFfilesetup,int)",setup-pre.c,8,4,0,3,2,True,0
"_af_strdup(int *,char *)",util-pre.c,7,4,0,2,1,True,0
"_af_wave_complete_setup(int *,AFfilesetup)",wave-pre.c,26,12,3,50,4,True,0
"_af_wave_read_init(int *,AFfilesetup,AFfilehandle)",wave-pre.c,7,26,3,37,3,True,1
"_af_wave_update(int *,AFfilehandle)",wavewrite-pre.c,8,9,0,2,1,True,0
"_AFg711initdecompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_g711-pre.c,7,11,0,1,0,True,0
"_afOpenFile(int *,int,AFvirtualfile *,const char *,AFfilehandle *,AFfilesetup)",openclose-pre.c,25,26,3,26,2,True,0
"_afQueryFileFormat(int *,int,int,int,int)",query-pre.c,14,6,2,37,3,True,0
"_afQueryMarker(int *,int,int,int,int)",query-pre.c,6,3,0,3,1,True,0
"_AFsetupmodules(int *,AFfilehandle,_Track *)",modules-pre.c,32,33,4,34,3,True,1
"addfilereadmods(int *,current_state *,_Track *,AFfilehandle)",modules-pre.c,8,3,0,4,1,True,0
"addfilewritemods(int *,current_state *,_Track *,AFfilehandle)",modules-pre.c,8,3,0,4,1,True,0
"addmod(int *,current_state *,_AFmoduleinst)",modules-pre.c,11,8,0,2,1,True,1
"af_read_uint16_be(int *,uint16_t *,AFvirtualfile *)",util-pre.c,7,4,0,2,1,True,0
"af_read_uint32_be(int *,uint32_t *,AFvirtualfile *)",util-pre.c,11,4,0,2,1,True,0
"af_read_uint32_le(int *,uint32_t *,AFvirtualfile *)",util-pre.c,9,4,0,3,1,True,0
"af_virtual_file_new_for_file(int *,FILE *)",af_vfs-pre.c,7,9,0,2,1,True,0
"af_write_uint16_be(int *,const uint16_t *,AFvirtualfile *)",util-pre.c,8,3,0,2,1,True,0
"af_write_uint32_be(int *,const uint32_t *,AFvirtualfile *)",util-pre.c,20,3,0,2,1,True,0
"afFreeFileSetup(int *,AFfilesetup)",setup-pre.c,6,7,0,3,1,True,0
"afGetAESChannelData(int *,AFfilehandle,int,unsigned char [24])",aes-pre.c,6,4,1,5,2,True,0
"afGetByteOrder(int *,AFfilehandle,int)",format-pre.c,6,3,0,3,1,True,0
"afGetCompression(int *,AFfilehandle,int)",compression-pre.c,6,3,0,3,1,True,0
"afGetDataOffset(int *,AFfilehandle,int)",format-pre.c,5,3,0,3,1,True,0
"afGetFileFormat(int *,AFfilehandle,int *)",format-pre.c,8,4,1,4,2,True,0
"afGetFrameCount(int *,AFfilehandle,int)",format-pre.c,8,4,1,5,2,True,1
"afGetInstIDs(int *,AFfilehandle,int *)",instrument-pre.c,6,3,1,4,2,True,0
"afGetLoopEndFrame(int *,AFfilehandle,int,int)",loop-pre.c,6,3,0,2,1,True,0
"afGetLoopIDs(int *,AFfilehandle,int,int *)",loop-pre.c,8,4,1,5,2,True,0
"afGetLoopStartFrame(int *,AFfilehandle,int,int)",loop-pre.c,6,3,0,2,1,True,0
"afGetMarkComment(int *,AFfilehandle,int,int)",marker-pre.c,5,5,1,6,1,True,0
"afGetMarkIDs(int *,AFfilehandle,int,int [])",marker-pre.c,9,4,1,6,2,True,0
"afGetMarkName(int *,AFfilehandle,int,int)",marker-pre.c,7,5,1,6,1,True,0
"afGetMarkPosition(int *,AFfilehandle,int,int)",marker-pre.c,9,5,1,6,1,True,0
"afGetMiscIDs(int *,AFfilehandle,int *)",misc-pre.c,7,3,1,4,2,True,0
"afGetSampleFormat(int *,AFfilehandle,int,int *,int *)",format-pre.c,9,3,1,4,1,True,0
"afGetTrackBytes(int *,AFfilehandle,int)",format-pre.c,5,3,0,2,1,True,0
"afGetVirtualByteOrder(int *,AFfilehandle,int)",format-pre.c,5,3,0,3,1,True,0
"afGetVirtualFrameSize(int *,AFfilehandle,int,int)",format-pre.c,6,4,0,3,1,True,0
"afGetVirtualSampleFormat(int *,AFfilehandle,int,int *,int *)",format-pre.c,7,3,1,4,1,True,0
"afInitFileFormat(int *,AFfilesetup,int)",setup-pre.c,7,3,1,5,1,True,0
"afInitMarkIDs(int *,AFfilesetup,int,int [],int)",marker-pre.c,9,11,1,8,3,True,0
"afInitMiscIDs(int *,AFfilesetup,int *,int)",misc-pre.c,5,9,1,6,2,True,0
"afInitPCMMapping(int *,AFfilesetup,int,double,double,double,double)",pcm-pre.c,7,8,0,3,1,True,0
"afInitSampleFormat(int *,AFfilesetup,int,int,int)",setup-pre.c,7,5,0,3,1,True,0
afNewFileSetup(int *),setup-pre.c,6,11,1,4,2,True,1
"afOpenNamedFD(int *,int,const char *,AFfilesetup,const char *)",openclose-pre.c,5,6,1,6,1,True,0
"afQueryDouble(int *,int,int,int,int,int)",query-pre.c,6,5,0,3,1,True,0
"afQueryLong(int *,int,int,int,int,int)",query-pre.c,6,5,0,3,1,True,0
"afQueryPointer(int *,int,int,int,int,int)",query-pre.c,7,5,0,3,1,True,0
"afReadFrames(int *,AFfilehandle,int,void *,int)",data-pre.c,22,17,2,21,4,True,0
"afReadMisc(int *,AFfilehandle,int,void *,int)",misc-pre.c,9,7,1,6,1,True,0
"afSetAESChannelData(int *,AFfilehandle,int,unsigned char [24])",aes-pre.c,6,4,1,4,1,True,0
"afSetChannelMatrix(int *,AFfilehandle,int,double *)",format-pre.c,8,5,1,6,2,True,0
"afSetLoopEndFrame(int *,AFfilehandle,int,int,AFframecount)",loop-pre.c,7,4,0,3,1,True,0
"afSetLoopMode(int *,AFfilehandle,int,int,int)",loop-pre.c,5,3,0,5,1,True,0
"afSetLoopStartFrame(int *,AFfilehandle,int,int,AFframecount)",loop-pre.c,7,4,0,3,1,True,0
"afSetTrackPCMMapping(int *,AFfilehandle,int,double,double,double,double)",pcm-pre.c,7,11,0,3,1,True,0
"afSetVirtualChannels(int *,AFfilehandle,int,int)",format-pre.c,6,9,1,4,1,True,0
"afSetVirtualPCMMapping(int *,AFfilehandle,int,double,double,double,double)",pcm-pre.c,7,11,0,3,1,True,0
"afSetVirtualSampleFormat(int *,AFfilehandle,int,int,int)",format-pre.c,7,6,1,4,1,True,0
"arrangemodules(int *,_AFfilehandle *,_Track *)",modules-pre.c,40,26,9,73,3,True,1
"AUpvnew(int *,int)",aupv-pre.c,10,12,1,7,1,True,0
"AUpvsetval(int *,AUpvlist,int,void *)",aupv-pre.c,15,7,1,14,1,True,0
"copyaudiodata(int *,AFfilehandle,AFfilehandle,int,AFframecount)",sfconvert-pre.c,7,7,1,5,2,True,0
"disposefilemods(int *,_Track *)",modules-pre.c,9,7,1,5,1,True,0
"disposemodules(int *,_Track *)",modules-pre.c,13,10,2,12,3,True,0
"floatrebufferf2vmax_pull(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,9,3,0,2,1,True,0
"floatrebufferf2vrun_pull(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,15,8,2,27,2,True,0
"floatrebufferv2fmax_push(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,8,3,0,2,1,True,0
"floatrebufferv2frun_push(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,13,4,1,15,3,True,0
"floatrebufferv2fsync1(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,6,3,0,3,0,True,0
"floatrebufferv2fsync2(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,12,4,0,6,1,True,0
"freeFileHandle(int *,AFfilehandle)",openclose-pre.c,23,24,3,19,5,True,0
"getLoop(int *,AFfilehandle,int,int,_Bool)",loop-pre.c,21,5,1,6,1,True,0
"ima_adpcm_decode_block(int *,ima_adpcm_data *,const uint8_t *,int16_t *)",modules_ima-pre.c,10,5,0,3,2,True,0
"ima_adpcm_run_pull(int *,_AFmoduleinst *)",modules_ima-pre.c,17,12,2,11,2,True,0
"initpcmmod(int *,const _AFmodule *,_PCMInfo *,_PCMInfo *)",modules-pre.c,10,9,0,2,1,True,0
"int2rebufferf2vmax_pull(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,9,3,0,2,1,True,0
"int2rebufferf2vrun_pull(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,15,8,2,27,2,True,0
"int2rebufferv2fmax_push(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,8,3,0,2,1,True,0
"int2rebufferv2frun_push(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,13,4,1,15,3,True,0
"int2rebufferv2fsync1(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,6,3,0,3,0,True,0
"int2rebufferv2fsync2(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,12,4,0,6,1,True,0
"main(int,char **)",sfconvert-pre.c,3,26,3,28,3,True,0
"ms_adpcm_decode_sample(int *,struct ms_adpcm_state *,uint8_t,const int16_t *)",modules_msadpcm-pre.c,7,5,1,5,1,True,0
"next_write_header(int *,AFfilehandle)",nextwrite-pre.c,10,8,0,2,1,True,0
"ParseAESD(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,7,7,0,4,1,True,0
"ParseCues(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,5,11,1,4,1,True,0
"ParseFormat(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,12,22,5,44,2,True,1
"ParseMiscellaneous(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,9,13,1,14,1,True,0
"ParseSSND(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,6,8,0,2,0,True,0
"pcmreset2(int *,_AFmoduleinst *)",modules_pcm-pre.c,6,3,0,1,0,True,0
"pcmrun_pull(int *,_AFmoduleinst *)",modules_pcm-pre.c,14,11,1,9,2,True,0
"pcmrun_push(int *,_AFmoduleinst *)",modules_pcm-pre.c,13,11,1,7,3,True,0
"real_char3_to_schar3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,8,3,0,2,1,True,0
"real_char3_to_uchar3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,8,3,0,2,1,True,0
"swap2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,5,0,2,1,True,0
"swap3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,5,0,2,1,True,0
"swap4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,13,7,0,2,1,True,0
"swap8run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,14,8,0,2,1,True,0
"WriteBODY(int *,AFfilehandle)",iffwrite-pre.c,9,9,1,4,1,True,0
"WriteCOMM(int *,const AFfilehandle)",aiffwrite-pre.c,15,15,2,13,3,True,0
"WriteData(int *,AFfilehandle)",wavewrite-pre.c,7,9,0,2,0,True,0
"WriteFrameCount(int *,AFfilehandle)",wavewrite-pre.c,11,8,0,6,1,True,0
"WriteFVER(int *,AFfilehandle)",aiffwrite-pre.c,8,7,0,3,1,True,0
"WriteNISTHeader(int *,AFfilehandle)",nistwrite-pre.c,10,9,0,2,1,True,0
"WriteSSND(int *,AFfilehandle)",aiffwrite-pre.c,10,10,1,5,1,True,0
"WriteVHDR(int *,const AFfilehandle)",iffwrite-pre.c,10,9,0,2,1,True,0
"_af_adpcm_coder(int *,const int16_t *,uint8_t *,int,int,struct adpcm_state *)",modules_adpcm-pre.c,8,3,3,14,2,False,0
"_af_adpcm_decoder(int *,const uint8_t *,int16_t *,int,int,struct adpcm_state *)",modules_adpcm-pre.c,11,5,2,12,4,False,0
"_af_aifc_get_version(int *,AFfilehandle)",aiff-pre.c,0,1,0,1,0,False,0
"_af_aifc_recognize(int *,AFvirtualfile *)",aiff-pre.c,2,4,0,5,1,False,0
"_af_aiff_instparam_valid(int *,AFfilehandle,AUpvlist,int)",aiff-pre.c,3,4,1,17,1,False,0
"_af_aiff_recognize(int *,AFvirtualfile *)",aiff-pre.c,2,4,0,5,1,False,0
"_af_aiff_update(int *,AFfilehandle)",aiffwrite-pre.c,4,13,0,3,1,False,0
"_af_aiff_write_init(int *,AFfilesetup,AFfilehandle)",aiffwrite-pre.c,5,14,1,8,1,False,0
"_af_alaw2linear(int *,unsigned char)",g711-pre.c,2,1,0,4,1,False,0
"_af_avr_read_init(int *,AFfilesetup,AFfilehandle)",avr-pre.c,8,31,1,12,1,False,0
"_af_avr_recognize(int *,AFvirtualfile *)",avr-pre.c,2,4,0,3,1,False,0
"_af_avr_update(int *,AFfilehandle)",avrwrite-pre.c,4,4,0,1,0,False,0
"_af_avr_write_init(int *,AFfilesetup,AFfilehandle)",avrwrite-pre.c,12,14,1,7,1,False,0
"_af_byteswap_float32(int *,float)",byteorder-pre.c,3,2,0,1,0,False,0
"_af_byteswap_int16(int *,uint16_t)",byteorder-pre.c,3,1,0,1,0,False,0
"_af_byteswap_int32(int *,uint32_t)",byteorder-pre.c,5,1,0,1,0,False,0
"_af_compression_index_from_id(int *,int)",compression-pre.c,12,2,0,3,2,False,1
"_af_convert_from_ieee_extended(int *,const unsigned char *)",extended-pre.c,2,3,1,6,2,False,0
"_af_convert_to_ieee_extended(int *,double,unsigned char *)",extended-pre.c,2,4,1,6,3,False,0
"_af_error(int *,int,const char *)",error-pre.c,100,4,0,2,1,False,0
"_af_filehandle_can_read(int *,AFfilehandle)",util-pre.c,6,2,0,2,1,False,0
"_af_filehandle_can_write(int *,AFfilehandle)",util-pre.c,9,2,0,2,1,False,0
"_af_filehandle_get_track(int *,AFfilehandle,int)",util-pre.c,65,2,0,3,2,False,1
"_af_filehandle_ok(int *,AFfilehandle)",util-pre.c,42,2,0,3,1,False,0
"_af_filesetup_get_tracksetup(int *,AFfilesetup,int)",util-pre.c,23,2,0,3,2,False,0
"_af_filesetup_ok(int *,AFfilesetup)",util-pre.c,22,2,0,3,1,False,0
"_af_format_frame_size_uncompressed(int *,_AudioFormat *,_Bool)",util-pre.c,6,2,0,1,0,False,0
"_af_format_frame_size(int *,_AudioFormat *,_Bool)",util-pre.c,23,3,0,1,0,False,1
"_af_format_sample_size_uncompressed(int *,_AudioFormat *,_Bool)",util-pre.c,11,1,1,6,2,False,0
"_af_format_sample_size(int *,_AudioFormat *,_Bool)",util-pre.c,9,3,0,1,0,False,0
"_af_g711_format_ok(int *,_AudioFormat *)",modules_g711-pre.c,5,6,1,4,1,False,0
"_af_handle_instrument_index_from_id(int *,AFfilehandle,int)",instrument-pre.c,10,2,0,3,2,False,0
"_af_handle_loop_index_from_id(int *,AFfilehandle,int,int)",loop-pre.c,10,2,0,3,2,False,0
"_af_iff_read_init(int *,AFfilesetup,AFfilehandle)",iff-pre.c,3,16,1,14,2,False,0
"_af_iff_recognize(int *,AFvirtualfile *)",iff-pre.c,2,4,0,5,1,False,0
"_af_iff_update(int *,AFfilehandle)",iffwrite-pre.c,3,7,0,1,0,False,0
"_af_iff_write_init(int *,AFfilesetup,AFfilehandle)",iffwrite-pre.c,4,9,0,2,1,False,0
"_af_ima_adpcm_init_decompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_ima-pre.c,9,15,1,4,1,False,0
"_af_initfloatrebufferv2f(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,4,9,0,1,0,False,0
"_af_initint2rebufferv2f(int *,AFframecount,_Bool)",modules_rebuffer-pre.c,5,9,0,1,0,False,0
"_af_instparam_get(int *,AFfilehandle,int,AUpvlist,int,_Bool)",instrument-pre.c,17,8,2,11,2,False,0
"_af_instparam_index_from_id(int *,int,int)",instrument-pre.c,10,2,1,4,2,False,0
"_af_instparam_set(int *,AFfilehandle,int,AUpvlist,int)",instrument-pre.c,18,8,2,12,2,False,0
"_af_instsetup_new(int *,int)",setup-pre.c,7,5,1,7,3,False,1
"_af_ircam_complete_setup(int *,AFfilesetup)",ircam-pre.c,23,3,1,23,2,False,0
"_af_ircam_update(int *,AFfilehandle)",ircamwrite-pre.c,0,1,0,1,0,False,0
"_af_ircam_write_init(int *,AFfilesetup,AFfilehandle)",ircamwrite-pre.c,14,11,1,8,1,False,0
"_af_linear2alaw(int *,int)",g711-pre.c,4,2,1,4,2,False,0
"_af_linear2ulaw(int *,int)",g711-pre.c,4,2,1,3,1,False,0
"_af_marker_new(int *,int)",marker-pre.c,5,2,0,2,1,False,0
"_af_next_read_init(int *,AFfilesetup,AFfilehandle)",next-pre.c,6,28,1,13,1,False,0
"_af_next_recognize(int *,AFvirtualfile *)",next-pre.c,2,4,0,3,1,False,0
"_af_next_update(int *,AFfilehandle)",nextwrite-pre.c,2,2,0,1,0,False,0
"_af_next_write_init(int *,AFfilesetup,AFfilehandle)",nextwrite-pre.c,4,9,0,3,1,False,0
"_af_nist_complete_setup(int *,AFfilesetup)",nist-pre.c,23,3,1,25,2,False,0
"_af_nist_recognize(int *,AFvirtualfile *)",nist-pre.c,2,4,0,3,1,False,0
"_af_nist_update(int *,AFfilehandle)",nistwrite-pre.c,3,3,0,1,0,False,0
"_af_print_audioformat(int *,_AudioFormat *)",debug-pre.c,16,2,2,9,1,False,0
"_af_print_channel_matrix(int *,double *,int,int)",debug-pre.c,4,1,1,6,3,False,0
"_af_print_frame(int *,AFframecount,double *,int,char *,int,double,double,double,double)",debug-pre.c,10,2,1,6,3,False,0
"_af_print_pvlist(int *,AUpvlist)",debug-pre.c,11,2,1,7,2,False,0
"_af_printid(int *,uint32_t)",debug-pre.c,1,1,0,1,0,False,0
"_af_pv_double(int *,double)",util-pre.c,2,5,0,1,0,False,0
"_af_pv_getdouble(int *,AUpvlist,int,double *)",util-pre.c,4,5,1,4,2,False,0
"_af_pv_getptr(int *,AUpvlist,int,void **)",util-pre.c,5,5,1,4,2,False,0
"_af_pv_long(int *,long)",util-pre.c,8,5,0,1,0,False,0
"_af_pv_pointer(int *,void *)",util-pre.c,5,5,0,1,0,False,0
"_af_raw_complete_setup(int *,AFfilesetup)",raw-pre.c,13,9,1,11,1,False,0
"_af_raw_read_init(int *,AFfilesetup,AFfilehandle)",raw-pre.c,12,8,1,7,3,False,0
"_af_raw_recognize(int *,AFvirtualfile *)",raw-pre.c,0,1,0,1,0,False,0
"_af_raw_update(int *,AFfilehandle)",raw-pre.c,0,1,0,1,0,False,0
"_af_set_sample_format(int *,_AudioFormat *,int,int)",util-pre.c,22,7,1,8,3,False,1
"_af_setup_free_tracks(int *,AFfilesetup)",setup-pre.c,5,4,0,3,2,False,0
"_af_setup_instrument_index_from_id(int *,AFfilesetup,int)",instrument-pre.c,7,2,0,3,2,False,0
_af_track_new(int *),track-pre.c,9,31,0,1,0,False,0
"_af_tracksetup_new(int *,int)",setup-pre.c,11,9,1,9,4,False,1
"_af_ulaw2linear(int *,unsigned char)",g711-pre.c,2,1,0,2,0,False,0
"_af_unique_ids(int *,int *,int,char *,int)",util-pre.c,7,2,1,4,3,False,0
"_af_wave_instparam_valid(int *,AFfilehandle,AUpvlist,int)",wave-pre.c,3,4,1,15,1,False,0
"_af_wave_recognize(int *,AFvirtualfile *)",wave-pre.c,2,4,0,5,1,False,0
"_af_wave_write_init(int *,AFfilesetup,AFfilehandle)",wavewrite-pre.c,4,11,0,2,1,False,0
"_AFfreemodspec(int *,_AFmoduleinst *)",modules-pre.c,2,3,0,2,1,False,0
"_AFfreemodules(int *,_Track *)",modules-pre.c,3,2,0,1,0,False,0
"_AFg711initcompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_g711-pre.c,7,8,0,1,0,False,0
"_AFinitmodules(int *,AFfilehandle,_Track *)",modules-pre.c,7,26,1,10,1,False,1
"_AFnewmodinst(int *,const _AFmodule *)",modules-pre.c,14,10,0,1,0,False,0
"_AFpcminitcompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_pcm-pre.c,8,10,0,1,0,False,0
"_AFpcminitdecompress(int *,_Track *,AFvirtualfile *,_Bool,_Bool,AFframecount *)",modules_pcm-pre.c,7,12,1,9,1,False,1
"_AFpull(int *,_AFmoduleinst *,AFframecount)",modules-pre.c,12,5,0,1,0,False,0
"_AFpush(int *,_AFmoduleinst *,AFframecount)",modules-pre.c,12,4,0,1,0,False,0
"_AFpushat(int *,_AFmoduleinst *,AFframecount,_Bool,AFframecount)",modules-pre.c,12,6,0,1,0,False,0
"_afQueryCompression(int *,int,int,int,int)",query-pre.c,12,6,1,13,3,False,0
"_afQueryInstrument(int *,int,int,int,int)",query-pre.c,6,2,1,7,2,False,0
"_afQueryInstrumentParameter(int *,int,int,int,int)",query-pre.c,12,9,1,25,2,False,0
"_afQueryLoop(int *,int,int,int,int)",query-pre.c,6,2,1,5,1,False,0
"_afQueryMiscellaneous(int *,int,int,int,int)",query-pre.c,1,2,0,1,0,False,0
"_AFsimplemodrun_pull(int *,_AFmoduleinst *)",modules-pre.c,7,2,0,1,0,False,0
"_AFsimplemodrun_push(int *,_AFmoduleinst *)",modules-pre.c,7,5,0,1,0,False,0
"_AFsyncmodules(int *,AFfilehandle,_Track *)",modules-pre.c,11,6,1,8,2,False,0
"af_basename(int *,char *)",avrwrite-pre.c,2,2,0,2,1,False,0
"af_fclose(int *,AFvirtualfile *)",af_vfs-pre.c,9,2,0,1,0,False,0
"af_file_destroy(int *,AFvirtualfile *)",af_vfs-pre.c,2,3,0,1,0,False,0
"af_file_length(int *,AFvirtualfile *)",af_vfs-pre.c,2,3,0,1,0,False,0
"af_file_read(int *,AFvirtualfile *,void *,size_t)",af_vfs-pre.c,4,2,0,1,0,False,0
"af_file_seek(int *,AFvirtualfile *,long,int)",af_vfs-pre.c,4,3,0,2,0,False,0
"af_file_tell(int *,AFvirtualfile *)",af_vfs-pre.c,2,2,0,1,0,False,0
"af_file_write(int *,AFvirtualfile *,const void *,size_t)",af_vfs-pre.c,4,2,0,1,0,False,0
"af_flength(int *,AFvirtualfile *)",af_vfs-pre.c,10,2,0,2,1,False,0
"af_fread(int *,void *,size_t,size_t,AFvirtualfile *)",af_vfs-pre.c,39,2,0,4,1,False,1
"af_fseek(int *,AFvirtualfile *,long,int)",af_vfs-pre.c,49,2,0,3,1,False,1
"af_ftell(int *,AFvirtualfile *)",af_vfs-pre.c,34,2,0,2,1,False,0
"af_fwrite(int *,const void *,size_t,size_t,AFvirtualfile *)",af_vfs-pre.c,36,2,0,4,1,False,0
"af_read_pstring(int *,char [256],AFvirtualfile *)",util-pre.c,4,3,0,1,0,False,0
"af_read_uint16_le(int *,uint16_t *,AFvirtualfile *)",util-pre.c,3,4,0,2,1,False,1
"af_read_uint8(int *,uint8_t *,AFvirtualfile *)",util-pre.c,7,2,0,2,1,False,0
"af_virtual_file_destroy(int *,AFvirtualfile *)",af_vfs-pre.c,3,2,0,1,0,False,0
af_virtual_file_new(int *),af_vfs-pre.c,1,2,0,1,0,False,0
"af_write_pstring(int *,const char *,AFvirtualfile *)",util-pre.c,5,4,0,3,1,False,0
"af_write_uint16_le(int *,const uint16_t *,AFvirtualfile *)",util-pre.c,4,2,0,2,1,False,0
