Name,File,CountInput,CountOutput,CountPathLog,CyclomaticStrict,MaxNesting,PREDICTION,INJECTED
"af_write_uint32_le(int *,const uint32_t *,AFvirtualfile *)",util-pre.c,9,2,0,2,1,False,0
"af_write_uint8(int *,const uint8_t *,AFvirtualfile *)",util-pre.c,11,2,0,2,1,False,0
"afCloseFile(int *,AFfilehandle)",openclose-pre.c,5,6,0,3,1,False,0
"afGetChannels(int *,AFfilehandle,int)",format-pre.c,7,2,0,2,1,False,1
"afGetFrameSize(int *,AFfilehandle,int,int)",format-pre.c,5,4,0,3,1,False,0
"afGetInstParamLong(int *,AFfilehandle,int,int)",instrument-pre.c,5,7,0,1,0,False,0
"afGetInstParams(int *,AFfilehandle,int,AUpvlist,int)",instrument-pre.c,5,1,0,1,0,False,0
"afGetLoopCount(int *,AFfilehandle,int,int)",loop-pre.c,5,2,0,2,1,False,0
"afGetLoopEnd(int *,AFfilehandle,int,int)",loop-pre.c,6,2,0,2,1,False,0
"afGetLoopMode(int *,AFfilehandle,int,int)",loop-pre.c,6,2,0,2,1,False,0
"afGetLoopStart(int *,AFfilehandle,int,int)",loop-pre.c,6,2,0,2,1,False,0
"afGetLoopTrack(int *,AFfilehandle,int,int)",loop-pre.c,5,2,0,2,1,False,0
"afGetMiscSize(int *,AFfilehandle,int)",misc-pre.c,5,4,0,3,1,False,0
"afGetMiscType(int *,AFfilehandle,int)",misc-pre.c,5,4,0,3,1,False,0
"afGetPCMMapping(int *,AFfilehandle,int,double *,double *,double *,double *)",pcm-pre.c,13,6,1,7,1,False,0
"afGetRate(int *,AFfilehandle,int)",format-pre.c,7,2,0,2,1,False,1
"afGetTrackIDs(int *,AFfilehandle,int *)",track-pre.c,2,3,0,3,1,False,0
"afGetVirtualChannels(int *,AFfilehandle,int)",format-pre.c,5,2,0,2,1,False,0
"afGetVirtualPCMMapping(int *,AFfilehandle,int,double *,double *,double *,double *)",pcm-pre.c,13,6,1,7,1,False,0
"afGetVirtualRate(int *,AFfilehandle,int)",format-pre.c,5,2,0,2,1,False,0
"afIdentifyFD(int *,int)",openclose-pre.c,2,7,0,3,1,False,0
"afIdentifyNamedFD(int *,int,const char *,int *)",openclose-pre.c,4,7,0,3,1,False,0
"afInitAESChannelData(int *,AFfilesetup,int)",aes-pre.c,3,3,0,3,1,False,0
"afInitAESChannelDataTo(int *,AFfilesetup,int,int)",aes-pre.c,4,3,0,3,1,False,0
"afInitByteOrder(int *,AFfilesetup,int,int)",setup-pre.c,4,6,1,5,1,False,0
"afInitChannels(int *,AFfilesetup,int,int)",setup-pre.c,5,6,1,4,1,False,0
"afInitCompression(int *,AFfilesetup,int,int)",compression-pre.c,4,5,1,4,1,False,0
"afInitDataOffset(int *,AFfilesetup,int,AFfileoffset)",setup-pre.c,4,5,1,4,1,False,0
"afInitFrameCount(int *,AFfilesetup,int,AFfileoffset)",setup-pre.c,4,5,1,4,1,False,0
"afInitInstIDs(int *,AFfilesetup,int *,int)",instrument-pre.c,5,8,1,4,1,False,0
"afInitLoopIDs(int *,AFfilesetup,int,int *,int)",loop-pre.c,5,10,1,7,2,False,0
"afInitMarkComment(int *,AFfilesetup,int,int,const char *)",marker-pre.c,9,9,1,10,2,False,0
"afInitMarkName(int *,AFfilesetup,int,int,const char *)",marker-pre.c,9,9,1,11,2,False,0
"afInitMiscSize(int *,AFfilesetup,int,int)",misc-pre.c,4,4,0,3,1,False,0
"afInitMiscType(int *,AFfilesetup,int,int)",misc-pre.c,4,4,0,3,1,False,0
"afInitRate(int *,AFfilesetup,int,double)",setup-pre.c,5,6,1,4,1,False,0
"afInitTrackIDs(int *,AFfilesetup,int *,int)",track-pre.c,3,1,0,5,0,False,0
"afOpenFD(int *,int,const char *,AFfilesetup)",openclose-pre.c,4,6,1,6,1,False,0
"afOpenFile(int *,const char *,const char *,AFfilesetup)",openclose-pre.c,7,7,1,8,1,False,0
"afOpenVirtualFile(int *,AFvirtualfile *,const char *,AFfilesetup)",openclose-pre.c,4,4,1,6,1,False,0
"afQuery(int *,int,int,int,int,int)",query-pre.c,9,8,1,9,1,False,0
"afSeekFrame(int *,AFfilehandle,int,AFframecount)",format-pre.c,9,6,1,11,2,False,0
"afSeekMisc(int *,AFfilehandle,int,int)",misc-pre.c,5,5,1,4,1,False,0
"afSetErrorHandler(int *,AFerrfunc)",error-pre.c,2,2,0,1,0,False,0
"afSetInstParamLong(int *,AFfilehandle,int,int,long)",instrument-pre.c,5,6,0,1,0,False,0
"afSetInstParams(int *,AFfilehandle,int,AUpvlist,int)",instrument-pre.c,5,1,0,1,0,False,0
"afSetLoopCount(int *,AFfilehandle,int,int,int)",loop-pre.c,5,4,0,3,1,False,0
"afSetLoopEnd(int *,AFfilehandle,int,int,int)",loop-pre.c,5,2,0,2,1,False,0
"afSetLoopStart(int *,AFfilehandle,int,int,int)",loop-pre.c,5,2,0,2,1,False,0
"afSetLoopTrack(int *,AFfilehandle,int,int,int)",loop-pre.c,5,2,0,2,1,False,0
"afSetMarkPosition(int *,AFfilehandle,int,int,AFframecount)",marker-pre.c,7,7,1,8,1,False,0
"afSetVirtualByteOrder(int *,AFfilehandle,int,int)",format-pre.c,4,8,1,5,1,False,0
"afSetVirtualRate(int *,AFfilehandle,int,double)",format-pre.c,4,8,1,4,1,False,0
"afSyncFile(int *,AFfilehandle)",openclose-pre.c,12,6,1,10,4,False,0
"afTellFrame(int *,AFfilehandle,int)",format-pre.c,3,2,0,1,0,False,0
"afWriteFrames(int *,AFfilehandle,int,const void *,int)",data-pre.c,17,15,1,11,2,False,0
"afWriteMisc(int *,AFfilehandle,int,void *,int)",misc-pre.c,8,10,1,9,2,False,0
aiffinfo_new(int *),aiffwrite-pre.c,2,9,0,1,0,False,0
"alaw2linear_buf(int *,unsigned char *,short *,int)",modules_g711-pre.c,4,2,0,2,1,False,0
"alaw2ulaw(int *,unsigned char)",g711-pre.c,2,1,0,2,0,False,0
"AUpvfree(int *,AUpvlist)",aupv-pre.c,10,3,1,7,1,False,0
"AUpvgetmaxitems(int *,AUpvlist)",aupv-pre.c,8,2,0,4,1,False,0
"AUpvgetparam(int *,AUpvlist,int,int *)",aupv-pre.c,14,3,1,10,1,False,0
"AUpvgetval(int *,AUpvlist,int,void *)",aupv-pre.c,21,3,1,13,1,False,0
"AUpvgetvaltype(int *,AUpvlist,int,int *)",aupv-pre.c,15,3,1,10,1,False,0
"AUpvsetparam(int *,AUpvlist,int,int)",aupv-pre.c,14,4,1,10,1,False,0
"AUpvsetvaltype(int *,AUpvlist,int,int)",aupv-pre.c,15,4,1,10,1,False,0
"channelchange1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,1,6,3,False,0
"channelchange2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,1,6,3,False,0
"channelchange3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,1,6,3,False,0
"channelchange4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,1,6,3,False,0
"channelchangedescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,7,0,1,0,False,0
"channelchangedoublerun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,8,0,1,4,3,False,0
"channelchangefloatrun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,8,0,1,4,3,False,0
"channelchangefree(int *,struct _AFmoduleinst *)",modules-pre.c,3,4,0,3,0,False,0
"char3_to_real_char3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,0,0,1,0,False,0
"char3_to_real_char3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,8,2,0,2,1,False,0
"clamp(int *,int,int,int)",modules_adpcm-pre.c,4,1,0,3,1,False,0
"clip1describe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"clip1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,4,1,False,0
"clip2describe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"clip2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,4,1,False,0
"clip3describe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"clip3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,4,1,False,0
"clip4describe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"clip4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,4,1,False,0
"clipdoubledescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"clipdoublerun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,4,1,False,0
"clipfloatdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"clipfloatrun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,4,1,False,0
"copyrightstring(int *,AFfilehandle)",printinfo-pre.c,3,7,0,3,2,False,0
"defaultErrorFunction(int *,long,const char *)",error-pre.c,3,1,0,1,0,False,0
"double2floatdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"double2floatrun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"double2int1_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"double2int1_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"double2int2_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"double2int2_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"double2int3_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"double2int3_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"double2int4_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"double2int4_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"doubletransformdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"doubletransformrun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,2,1,False,0
"find_misc_by_id(int *,AFfilehandle,int)",misc-pre.c,11,2,0,3,2,False,0
"find_miscsetup_by_id(int *,AFfilesetup,int)",misc-pre.c,8,2,0,3,2,False,0
"findCompression(int *,int)",compression-pre.c,4,2,0,2,1,False,0
"float2doubledescribe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"float2doublerun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"float2int1_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"float2int1_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"float2int2_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"float2int2_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"float2int3_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"float2int3_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"float2int4_clipdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,3,0,1,0,False,0
"float2int4_cliprun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,11,0,0,4,1,False,0
"floatrebufferf2vfree(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,3,1,0,2,1,False,0
"floatrebufferf2vreset1(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,4,4,0,3,0,False,0
"floatrebufferf2vreset2(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,0,0,0,1,0,False,0
"floatrebufferv2ffree(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,4,1,1,3,1,False,0
"floattransformdescribe(int *,struct _AFmoduleinst *)",modules-pre.c,5,1,0,1,0,False,0
"floattransformrun(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,9,0,0,2,1,False,0
"freeInstParams(int *,AFPVu *,int)",openclose-pre.c,8,1,1,4,3,False,0
"g711compressdescribe(int *,_AFmoduleinst *)",modules_g711-pre.c,5,4,0,1,0,False,0
"g711decompressdescribe(int *,_AFmoduleinst *)",modules_g711-pre.c,0,5,0,1,0,False,0
"g711reset1(int *,_AFmoduleinst *)",modules_g711-pre.c,0,0,0,1,0,False,0
"g711reset2(int *,_AFmoduleinst *)",modules_g711-pre.c,8,3,0,1,0,False,0
"g711run_pull(int *,_AFmoduleinst *)",modules_g711-pre.c,18,13,1,8,2,False,0
"g711run_push(int *,_AFmoduleinst *)",modules_g711-pre.c,17,13,1,10,3,False,0
"g711sync1(int *,_AFmoduleinst *)",modules_g711-pre.c,5,2,0,1,0,False,0
"g711sync2(int *,_AFmoduleinst *)",modules_g711-pre.c,9,6,0,3,0,False,0
"get_format_code(int *,_AudioFormat *)",modules-pre.c,4,3,1,10,2,False,0
iff_info_new(int *),iffwrite-pre.c,2,5,0,1,0,False,0
"ima_adpcm_decompress_describe(int *,_AFmoduleinst *)",modules_ima-pre.c,0,5,0,1,0,False,0
"ima_adpcm_reset1(int *,_AFmoduleinst *)",modules_ima-pre.c,5,3,0,1,0,False,0
"ima_adpcm_reset2(int *,_AFmoduleinst *)",modules_ima-pre.c,8,4,0,2,0,False,0
"initchannelchange(int *,const _AFmodule *,double *,_PCMInfo *,int,int,_Bool)",modules-pre.c,11,9,1,21,4,False,0
"initfilemods(int *,_Track *,AFfilehandle)",modules-pre.c,19,17,1,10,2,False,1
"initrateconvertmods(int *,_Bool,_Track *)",modules-pre.c,1,5,0,1,0,False,0
"int1_2describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int1_2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int1_3describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int1_3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int1_4describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int1_4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2_1describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int2_1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2_3describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int2_3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2_4describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int2_4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2double1describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2double1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2double2describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2double2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2double3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2double3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2double4describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2double4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2float1describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2float1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2float2describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2float2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2float3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2float3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2float4describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,1,0,1,0,False,0
"int2float4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int2rebufferf2vfree(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,3,1,0,2,1,False,0
"int2rebufferf2vreset1(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,4,4,0,3,0,False,0
"int2rebufferf2vreset2(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,0,0,0,1,0,False,0
"int2rebufferv2ffree(int *,struct _AFmoduleinst *)",modules_rebuffer-pre.c,4,1,1,3,1,False,0
"int3_1describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int3_1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int3_2describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int3_2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int3_4describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int3_4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int4_1describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int4_1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int4_2describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int4_2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"int4_3describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,2,0,1,0,False,0
"int4_3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"linear2alaw_buf(int *,short *,unsigned char *,int)",modules_g711-pre.c,4,2,0,2,1,False,0
"linear2ulaw_buf(int *,short *,unsigned char *,int)",modules_g711-pre.c,4,2,0,2,1,False,0
"misc_type_to_wave(int *,int,uint32_t *)",wavewrite-pre.c,3,2,1,7,1,False,0
"ms_adpcm_decode_block(int *,ms_adpcm_data *,const uint8_t *,int16_t *)",modules_msadpcm-pre.c,13,8,2,10,1,False,0
"ms_adpcm_decompress_describe(int *,_AFmoduleinst *)",modules_msadpcm-pre.c,0,5,0,1,0,False,0
"ms_adpcm_reset1(int *,_AFmoduleinst *)",modules_msadpcm-pre.c,5,3,0,1,0,False,0
"ms_adpcm_reset2(int *,_AFmoduleinst *)",modules_msadpcm-pre.c,8,4,0,2,0,False,0
"ms_adpcm_run_pull(int *,_AFmoduleinst *)",modules_msadpcm-pre.c,17,12,1,8,2,False,0
"nextencodingtype(int *,_AudioFormat *)",nextwrite-pre.c,5,1,1,11,2,False,0
"nist_header_read_int(int *,char *,char *,int *)",nist-pre.c,4,4,0,2,1,False,0
"nist_header_read_string(int *,char *,char *,int *,char *)",nist-pre.c,5,4,0,2,1,False,0
"ParseADTLSubChunk(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,7,12,1,8,4,False,0
"ParseBODY(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",iff-pre.c,5,6,0,1,0,False,0
"ParseCOMM(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,9,19,1,20,2,False,0
"ParseData(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,7,8,1,9,1,False,1
"ParseFrameCount(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,4,4,0,1,0,False,0
"ParseFVER(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,4,4,0,2,0,False,0
"ParseINFOSubChunk(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,7,15,1,10,2,False,0
"ParseINST(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,4,17,0,2,0,False,0
"ParseInstrument(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,3,2,0,1,0,False,0
"ParseList(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,5,6,0,3,1,False,0
"ParseMARK(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",aiff-pre.c,5,17,1,5,2,False,0
"ParseMiscellaneous(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",iff-pre.c,9,13,1,10,1,False,0
"ParsePlayList(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",wave-pre.c,3,4,0,3,1,False,0
"ParseVHDR(int *,AFfilehandle,AFvirtualfile *,uint32_t,size_t)",iff-pre.c,8,15,0,2,0,False,0
"pcmreset1(int *,_AFmoduleinst *)",modules_pcm-pre.c,0,0,0,1,0,False,0
"pcmsync1(int *,_AFmoduleinst *)",modules_pcm-pre.c,5,2,0,1,0,False,0
"pcmsync2(int *,_AFmoduleinst *)",modules_pcm-pre.c,9,6,0,3,0,False,0
"printfileinfo(int *,char *)",printinfo-pre.c,3,15,1,16,2,False,0
"real_char3_to_schar3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,0,0,1,0,False,0
"real_char3_to_uchar3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,0,0,1,0,False,0
"resetmodules(int *,_AFfilehandle *,_Track *)",modules-pre.c,14,8,2,11,2,False,1
"sample_byte_format(int *,_AudioFormat *)",nistwrite-pre.c,4,3,1,6,2,False,0
"sample_coding(int *,_AudioFormat *)",nistwrite-pre.c,3,1,1,4,1,False,0
"search(int *,int,short *,int)",g711-pre.c,5,1,0,3,2,False,0
"signed2unsigned1describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"signed2unsigned1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"signed2unsigned2describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"signed2unsigned2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"signed2unsigned3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"signed2unsigned3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"signed2unsigned4describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"signed2unsigned4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"swap2describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,1,0,2,0,False,0
"swap3describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,1,0,2,0,False,0
"swap4describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,1,0,2,0,False,0
"swap8describe(int *,struct _AFmoduleinst *)",modules-pre.c,4,1,0,2,0,False,0
"trivial_int_clip(int *,_AudioFormat *,format_code)",modules-pre.c,8,1,0,3,0,False,1
"trivial_int_mapping(int *,_AudioFormat *,format_code)",modules-pre.c,7,1,0,3,0,False,0
"ulaw2alaw(int *,unsigned char)",g711-pre.c,2,1,0,2,0,False,0
"ulaw2linear_buf(int *,unsigned char *,short *,int)",modules_g711-pre.c,4,2,0,2,1,False,0
"unsigned2signed1describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"unsigned2signed1run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"unsigned2signed2describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"unsigned2signed2run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"unsigned2signed3describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"unsigned2signed3run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
"unsigned2signed4describe(int *,struct _AFmoduleinst *)",modules-pre.c,3,5,0,1,0,False,0
"unsigned2signed4run(int *,_AFchunk *,_AFchunk *,void *)",modules-pre.c,6,0,0,2,1,False,0
usageerror(int *),sfconvert-pre.c,1,2,0,1,0,False,0
"useAP(int *,double,double,double *,double *)",modules-pre.c,3,4,1,26,1,False,0
waveinfo_new(int *),wavewrite-pre.c,2,7,0,1,0,False,0
"WriteAESD(int *,const AFfilehandle)",aiffwrite-pre.c,9,8,1,7,1,False,0
"WriteCues(int *,AFfilehandle)",wavewrite-pre.c,7,14,1,9,2,False,0
"WriteFormat(int *,AFfilehandle)",wavewrite-pre.c,9,9,1,11,2,False,0
"WriteINST(int *,AFfilehandle)",aiffwrite-pre.c,18,22,0,1,0,False,0
"WriteMARK(int *,AFfilehandle)",aiffwrite-pre.c,7,14,1,7,1,False,0
"WriteMiscellaneous(int *,AFfilehandle)",iffwrite-pre.c,12,8,2,9,2,False,0
"WriteMiscellaneous(int *,AFfilehandle)",aiffwrite-pre.c,12,8,2,11,2,False,0
"WriteMiscellaneous(int *,AFfilehandle)",wavewrite-pre.c,12,10,2,12,4,False,0
